pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 36, 'data3': 0, 'timestamp': 5540, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 37, 'data2': 0, 'data3': 0, 'timestamp': 5541, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 101, 'data2': 63, 'data3': 0, 'timestamp': 5541, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 38, 'data2': 0, 'data3': 0, 'timestamp': 5543, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 99, 'data2': 63, 'data3': 0, 'timestamp': 5544, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 39, 'data2': 0, 'data3': 0, 'timestamp': 5545, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 67, 'data2': 63, 'data3': 0, 'timestamp': 5545, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 40, 'data2': 0, 'data3': 0, 'timestamp': 5546, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 66, 'data2': 63, 'data3': 0, 'timestamp': 5547, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 41, 'data2': 0, 'data3': 0, 'timestamp': 5548, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 65, 'data2': 63, 'data3': 0, 'timestamp': 5549, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 42, 'data2': 0, 'data3': 0, 'timestamp': 5550, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 63, 'data2': 63, 'data3': 0, 'timestamp': 5550, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 43, 'data2': 0, 'data3': 0, 'timestamp': 5551, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 37, 'data3': 0, 'timestamp': 5551, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 62, 'data2': 63, 'data3': 0, 'timestamp': 5552, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 44, 'data2': 0, 'data3': 0, 'timestamp': 5553, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 37, 'data3': 0, 'timestamp': 5553, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 45, 'data2': 0, 'data3': 0, 'timestamp': 5554, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 61, 'data2': 63, 'data3': 0, 'timestamp': 5554, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 61, 'data2': 63, 'data3': 0, 'timestamp': 5555, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 46, 'data2': 0, 'data3': 0, 'timestamp': 5556, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 47, 'data2': 0, 'data3': 0, 'timestamp': 5557, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 48, 'data2': 0, 'data3': 0, 'timestamp': 5559, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 38, 'data3': 0, 'timestamp': 5559, 'vice_id': 0})>
